nodes,avgmsg,se
400,3.295000,0.02245
400,3.282500,0.00995
400,3.327500,0.05495
400,3.322500,0.04995
400,3.280000,0.00745
400,3.305000,0.03245
400,3.250000,0.02255
400,3.282500,0.00995
400,3.255000,0.01755
400,3.265000,0.00755
400,3.290000,0.01745
400,3.240000,0.03255
400,3.337500,0.06495
400,3.245000,0.02755
400,3.212500,0.06005
400,3.330000,0.05745
400,3.315000,0.04245
400,3.332500,0.05995
400,3.240000,0.03255
400,3.240000,0.03255
400,3.312500,0.03995
400,3.270000,0.00255
400,3.260000,0.01255
400,3.305000,0.03245
400,3.352500,0.07995
400,3.245000,0.02755
400,3.282500,0.00995
400,3.280000,0.00745
400,3.247500,0.02505
400,3.342500,0.06995
400,3.282500,0.00995
400,3.295000,0.02245
400,3.205000,0.06755
400,3.255000,0.01755
400,3.242500,0.03005
400,3.417500,0.14495
400,3.262500,0.01005
400,3.230000,0.04255
400,3.290000,0.01745
400,3.245000,0.02755
400,3.247500,0.02505
400,3.307500,0.03495
400,3.285000,0.01245
400,3.227500,0.04505
400,3.197500,0.07505
400,3.447500,0.17495
400,3.230000,0.04255
400,3.245000,0.02755
400,3.220000,0.05255
400,3.242500,0.03005
400,3.217500,0.05505
550,3.283636,0.01070871
550,3.318182,0.04525471
550,3.252727,0.02020029
550,3.300000,0.02707271
550,3.172727,0.10020029
550,3.236364,0.03656329
550,3.307273,0.03434571
550,3.220000,0.05292729
550,3.294545,0.02161771
550,3.258182,0.01474529
550,3.325455,0.05252771
550,3.320000,0.04707271
550,3.296364,0.02343671
550,3.280000,0.00707271
550,3.274545,0.00161771
550,3.285455,0.01252771
550,3.298182,0.02525471
550,3.212727,0.06020029
550,3.252727,0.02020029
550,3.298182,0.02525471
550,3.209091,0.06383629
550,3.278182,0.00525471
550,3.260000,0.01292729
550,3.283636,0.01070871
550,3.260000,0.01292729
550,3.349091,0.07616371
550,3.256364,0.01656329
550,3.292727,0.01979971
550,3.240000,0.03292729
550,3.218182,0.05474529
550,3.261818,0.01110929
550,3.270909,0.00201829
550,3.280000,0.00707271
